transaction_id,customer_id,amount,category
0,0,125.50,retail
1,1,89.99,restaurant
2,2,45.00,online_shopping
3,0,299.99,electronics
4,3,15.50,grocery
5,4,75.25,entertainment
6,1,199.99,travel
7,5,32.75,retail
8,2,150.00,healthcare
9,6,45.99,online_shopping
10,3,89.50,restaurant
11,7,299.99,electronics
12,4,25.00,grocery
13,8,175.25,entertainment
14,5,499.99,travel
15,9,65.75,retail
16,6,199.50,healthcare
17,10,35.99,online_shopping
18,7,95.00,restaurant
19,11,399.99,electronics
20,8,30.25,grocery
21,12,125.75,entertainment
22,9,599.99,travel
23,13,55.50,retail
24,10,249.99,healthcare
25,14,40.25,online_shopping
26,11,105.00,restaurant
27,15,449.99,electronics
28,12,35.75,grocery
29,16,150.25,entertainment
